bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,pac_num,tcp_num,ack_num,sum_byte,mean_payload,stand_payload,skew_payload,kurt_payload,time_duration,avg_byte,pop_byte,pop_pac_num,push_byte,push_pac_num,class_value
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.11595702171325684,2431.9355208806664,0,0,0,0,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.1018228530883789,2926.651443771132,0,0,0,0,1
10,6,0,0,0,8,2,1,3,2,16,2,6,1185,74.0625,84.5028352582,0.572553696319,-1.19672893406,2.0457088947296143,579.2613030392206,152,2,0,1,1
6,6,0,0,0,6,0,0,0,6,12,0,6,862,71.8333333333,75.3824591766,0.0313788716201,-2.38972291001,2.5431101322174072,338.95504134081625,470,6,585,9,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09627008438110352,3095.457970311006,456,6,276,5,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.07200217247009277,3916.5484918824236,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.12179708480834961,2446.692385691411,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.08826994895935059,3376.00738998085,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09671497344970703,3081.2188575429186,152,2,0,1,1
23,6,0,0,0,19,4,0,0,6,29,4,11,1000,34.4827586207,57.2223861599,1.37314357372,0.153541138455,3.124582052230835,320.04280357625345,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.10037803649902344,2809.3795200182417,610,14,260,14,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.06363511085510254,4431.515812742362,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.10405707359313965,2863.8129990583047,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.08888101577758789,3172.781021153774,152,2,0,1,1
23,4,0,2,0,23,2,2,0,2,29,5,12,2097,72.3103448276,139.352611193,2.5038775601,6.00667697931,1.8823769092559814,1114.017065173653,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09820985794067383,2871.402178082258,460,12,1637,16,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.10522794723510742,2679.8964287494505,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09728193283081055,2898.7910888905226,152,2,0,1,1
17,8,0,0,0,15,2,0,0,8,25,3,10,1237,49.48,67.9209835029,0.770270575463,-1.42931770754,4.437527894973755,278.7588110490776,152,2,0,1,1
3,2,0,0,0,3,0,0,0,2,5,1,2,298,59.6,81.6382263404,0.611661277102,-3.31533801737,0.5368270874023438,555.1135682105652,685,12,406,12,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09479212760925293,3143.7209767925006,152,2,0,2,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09816908836364746,3035.5787648360297,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09282588958740234,3210.311275491858,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09212493896484375,3061.0603726708073,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.0970160961151123,3071.655240037846,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.11201190948486328,2517.5894357743095,152,2,0,1,1
